Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Appended Data
159	29.0	1.0	51.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	White Matter	*	
160	39.0	4.0	32.0	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	White Matter	*	
161	44.0	-5.0	49.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	
162	52.0	-2.0	35.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	
163	53.0	5.0	22.0	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	White Matter	*	
164	6.0	-67.0	42.0	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	
165	6.0	-52.0	50.0	Right Cerebrum	Parietal Lobe	Precuneus	*	*	
166	7.0	-40.0	62.0	Right Cerebrum	Frontal Lobe	Paracentral Lobule	White Matter	*	
167	21.0	-56.0	55.0	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	
168	23.0	-66.0	49.0	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	
169	24.0	-46.0	61.0	Right Cerebrum	Parietal Lobe	Superior Parietal Lobule	Gray Matter	Brodmann area 7	
170	31.0	-37.0	47.0	Right Cerebrum	Parietal Lobe	Sub-Gyral	White Matter	*	
171	38.0	-50.0	45.0	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	White Matter	*	
172	6.0	30.0	37.0	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	
173	15.0	32.0	50.0	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	White Matter	*	
174	22.0	31.0	33.0	Right Cerebrum	Frontal Lobe	Sub-Gyral	White Matter	*	
175	25.0	17.0	46.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 8	
176	37.0	29.0	41.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 8	
177	42.0	12.0	46.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	White Matter	*	
178	6.0	45.0	21.0	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 9	
179	14.0	48.0	36.0	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	White Matter	*	
180	24.0	48.0	25.0	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	White Matter	*	
181	37.0	37.0	26.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	White Matter	*	
182	50.0	23.0	27.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	White Matter	*	
183	8.0	42.0	2.0	Right Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	*	
184	13.0	60.0	0.0	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 10	
185	13.0	58.0	17.0	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	White Matter	*	
186	29.0	52.0	-5.0	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 10	
187	32.0	49.0	12.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	White Matter	*	
188	43.0	43.0	-2.0	Right Cerebrum	Frontal Lobe	Sub-Gyral	Gray Matter	Brodmann area 10	
189	5.0	30.0	-6.0	Right Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 24	
190	6.0	41.0	-17.0	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	White Matter	*	
191	8.0	24.0	-19.0	Right Cerebrum	Frontal Lobe	Rectal Gyrus	White Matter	*	
192	11.0	53.0	-16.0	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	White Matter	*	
